src,dst,score
800184736,412435155,30.70035171508789
500031880,800025608,30.69886016845703
412420856,800029403,30.69803810119629
412322995,247053120,30.69784927368164
412428175,412324723,30.697811126708984
200006342,412432565,30.697010040283203
412422685,412535258,30.694580078125
412325819,412322072,30.693960189819336
900202306,130700536,30.689922332763672
271062048,412428204,30.68915557861328
412322072,200008570,30.686141967773438
412433479,247120170,30.68562889099121
412417222,219014161,30.685287475585938
226177000,412471156,30.684078216552734
412416881,412432011,30.68160629272461
412888098,200006453,30.681116104125977
412428015,247124540,30.68109130859375
412449922,412412698,30.680500030517578
412332786,412436314,30.678630828857422
257131740,200011141,30.674238204956055
412421673,219014161,30.67411994934082
412410369,412420007,30.673250198364258
413881579,412439062,30.673067092895508
400400888,900019569,30.672325134277344
235001680,412422979,30.671728134155273
412450095,412120301,30.67082405090332
